id|source_id|attrib|object|value|attrib_type
191925160686|46|c_last_name|00c7e694-14da-102d-8bbc-000bcd9bc610|Fleet|
280335574473|5066|a_shipping_address_postalcode|0df4c1d8-d8f4-102c-986c-000bcd9bc610|0618|
418219950868|4945|sh_name|cb5ff0d6-d9f7-102c-986c-000bcd9bc610|90617 - Orthodontic|
1241645462319|7317|p_id|1bcb7800-ecc8-102c-8d7d-000bcd9bc610|1bcb7800-ecc8-102c-8d7d-000bcd9bc610|
1453792982283|7317|p_description|c6047d3a-ecc8-102c-8d7d-000bcd9bc610|Antaeos VDW MC K-Files, 19mm size 030 x6|
1772880554356|5066|a_shipping_address_city|e9672842-d8f3-102c-986c-000bcd9bc610||
2636431320106|8422|op_products_idb|87413670-3077-5643-1848-476126260553|0aeaa22c-ecc8-102c-8d7d-000bcd9bc610|
4239982439804|46|c_phone_mobile|08939666-14da-102d-8bbc-000bcd9bc610||
5262961470572|7317|pc_totalstock_c|12b099d4-ecc9-102c-8d7d-000bcd9bc610|4|
5414497096409|5066|a_shipping_address_postalcode|56b50ce8-d78c-102c-82f7-000bcd9bc610|3820|
7702134959953|46|cc_contactemail_c|4bfc55e2-d8f7-102c-986c-000bcd9bc610|Yes|
8627280002900|46|cc_speciality_c|1e16f780-d8f8-102c-986c-000bcd9bc610|Other|
9767850338572|4945|sh_col2|c1945358-d83f-102c-82f7-000bcd9bc610|0.00|
10545764500174|4945|sh_id|9ab40484-d855-102c-986c-000bcd9bc610|9ab40484-d855-102c-986c-000bcd9bc610|
11292749782838|7317|p_id|d7855a12-ecc7-102c-8d7d-000bcd9bc610|d7855a12-ecc7-102c-8d7d-000bcd9bc610|
12966523309674|46|cc_contactsms_c|0875f872-14da-102d-8bbc-000bcd9bc610|Yes|
15474844181143|5066|ac_pricegrp_c|3a874aea-d78c-102c-82f7-000bcd9bc610|GA|
18137318323679|5066|ac_acctid_c|e366a9fe-d8f3-102c-986c-000bcd9bc610|05507|
19677669234203|4945|sh_col2|27d39982-d852-102c-986c-000bcd9bc610|0.00|
22068329997169|7317|pc_class_c|e8aefa5a-ecc7-102c-8d7d-000bcd9bc610|B|
26861613952611|7317|p_name|0480053e-ecc9-102c-8d7d-000bcd9bc610|ZBELC10DARR84A0|
27301124295722|46|cc_gender_c|1361a6ba-d8f7-102c-986c-000bcd9bc610|Male|
27610158077522|46|c_last_name|15fcee60-14da-102d-8bbc-000bcd9bc610|Aronis|
27996979846040|46|c_team_id|1b19dfc0-14da-102d-8bbc-000bcd9bc610|d2c583ca-fbea-d1f9-6e4a-4a76441e629e|
31083959479787|5066|a_shipping_address_postalcode|36fb29e6-d78c-102c-82f7-000bcd9bc610|3000|
32820523495396|7317|pc_totalstock_c|f12e3406-ecc8-102c-8d7d-000bcd9bc610|2|
33709927388001|46|ac_account_id|10acb418-14da-102d-8bbc-000bcd9bc610|0b632432-d8f4-102c-986c-000bcd9bc610|
34580871648808|5066|a_rating|53e16b56-d78c-102c-82f7-000bcd9bc610||
34625562401781|5066|a_phone_fax|f85763c6-d8f3-102c-986c-000bcd9bc610||
36085537813753|4945|sha_j4d1_sales_tsaccounts_idb|7c55ae0c-d841-102c-986c-000bcd9bc610|5013d248-d78c-102c-82f7-000bcd9bc610|
36114111565894|7317|p_id|c68e29d6-ecc8-102c-8d7d-000bcd9bc610|c68e29d6-ecc8-102c-8d7d-000bcd9bc610|
37428597441867|4945|sh_name|1fb81774-d851-102c-986c-000bcd9bc610|01229 - Orthodontic|
38032783627415|4945|sh_id|2039c0ae-d841-102c-82f7-000bcd9bc610|2039c0ae-d841-102c-82f7-000bcd9bc610|
38229603012331|7317|pc_price_c|1e103470-ecc8-102c-8d7d-000bcd9bc610|48.31|
38667416319113|4945|sh_name|ddcd9454-d9e7-102c-986c-000bcd9bc610|91048 - Equipment|
39495817937217|5066|a_shipping_address_postalcode|574812a4-d78c-102c-82f7-000bcd9bc610|3931|
39628741237346|7317|pc_gstgroup_c|df3ec8c4-ecc7-102c-8d7d-000bcd9bc610|Y|
40584430936466|7317|pc_totalstock_c|2c291d74-ecc8-102c-8d7d-000bcd9bc610|1|
41232210485237|7317|pc_gstgroup_c|f2c5b8ca-ecc8-102c-8d7d-000bcd9bc610|Y|
41398786741216|4945|sh_id|3b655d1c-d840-102c-82f7-000bcd9bc610|3b655d1c-d840-102c-82f7-000bcd9bc610|
44095228499847|45|m_location|3f1d7d1d-545a-739d-035f-4af7cf23dd41||
46061090588276|4945|sh_name|ee2559ea-d83e-102c-82f7-000bcd9bc610|09409 - Equipment|
46227092686287|4945|sh_col1|0ced573c-d840-102c-82f7-000bcd9bc610|0.00|
46969684873463|5066|a_website|3a671bc6-d78c-102c-82f7-000bcd9bc610||
50741702181053|5066|a_team_id|ecd8591a-d8f3-102c-986c-000bcd9bc610|7a70f315-1b93-a002-151f-4a7644705a05|
51734036846725|7317|pc_price_c|40052838-ecc8-102c-8d7d-000bcd9bc610|9.07|
52418703910044|7317|pc_class_c|3cf82d34-ecc8-102c-8d7d-000bcd9bc610|D|
52890170861506|7317|pc_baseunit_c|d4547a9e-ecc7-102c-8d7d-000bcd9bc610|PC|
53208341999068|7317|p_description|dfaf10e8-ecc7-102c-8d7d-000bcd9bc610|Ela 314 FG TC Bur Fig.33-016 x6|
53472635549358|7317|pc_baseunit_c|c58dc196-0f36-102d-b0d6-000bcd9bc610|PC|
54666199248342|5066|a_team_id|3ab6e25a-d78c-102c-82f7-000bcd9bc610|b33d1d55-5595-dab5-b8b1-4a7644461074|
54796803456570|4945|sh_id|7b0cfd92-d847-102c-986c-000bcd9bc610|7b0cfd92-d847-102c-986c-000bcd9bc610|
55464580833141|5066|a_industry|479c0464-d78c-102c-82f7-000bcd9bc610|Healthcare|
55746359525178|5066|a_team_id|d8666d78-d8f3-102c-986c-000bcd9bc610|98d0f9ca-d39f-102c-bccd-000bcd9bc610|
57481058335647|4945|sh_col1|efbee4f2-d78e-102c-82f7-000bcd9bc610|161980.00|
57583495511039|7317|p_id|435bc0b4-ecc8-102c-8d7d-000bcd9bc610|435bc0b4-ecc8-102c-8d7d-000bcd9bc610|
57982070400214|46|c_salutation|144922a0-14da-102d-8bbc-000bcd9bc610||
58549672906354|46|cc_hobbies_c|a9a4f6e0-d751-00e6-4756-4ad6715baccb|Not Recorded|
59909067013815|5066|a_website|38f49732-d78c-102c-82f7-000bcd9bc610||
60314100782851|46|ea_email_address|03fd2176-14da-102d-8bbc-000bcd9bc610||
60989227726921|5066|ac_tax_name_c|4075181a-d78c-102c-82f7-000bcd9bc610|AU-10|
61485053629071|7317|pc_gstgroup_c|ca6b6132-ecc7-102c-8d7d-000bcd9bc610|Y|
61819622154109|4945|sh_col1|3cccdcc0-d840-102c-82f7-000bcd9bc610|0.00|
62511487565125|5066|a_shipping_address_city|e1510ce0-d8f3-102c-986c-000bcd9bc610||
63691404430311|8422|op_pqty|1dfd203c-2a22-102d-8898-000bcd9bc610|1|
64670049640902|5066|a_industry|56e54a02-d78c-102c-82f7-000bcd9bc610|Healthcare|
66252344451783|45|a_shipping_address_postalcode|23052223-1606-4724-0323-404116151036|2302|
66988477562352|4945|sh_col3|fc340652-d83f-102c-82f7-000bcd9bc610|0.00|
67779268815275|7317|pc_class_c|c9edb12e-ecc7-102c-8d7d-000bcd9bc610|D|
70275567120688|46|cc_contactsms_c|034e3b70-14da-102d-8bbc-000bcd9bc610|Not Recorded|
70496591021581|7317|pc_class_c|33b9d006-ecc8-102c-8d7d-000bcd9bc610|D|
70874489940233|4945|sh_name|01da1616-d78f-102c-82f7-000bcd9bc610|11723 - Clinical|
72140132894891|5066|a_industry|568bfc22-d78c-102c-82f7-000bcd9bc610|Healthcare|
73897412722463|7317|pc_baseunit_c|0f3a9ba2-ecc8-102c-8d7d-000bcd9bc610|PC|
74721647645334|46|c_do_not_call|84294de8-d8f8-102c-986c-000bcd9bc610|0|
75161772146781|5066|ac_supply_status_c|4e7eb2ea-d78c-102c-82f7-000bcd9bc610||
78133318172094|7317|pc_baseunit_c|dd79b49e-ecc8-102c-8d7d-000bcd9bc610|PC|
78750663817448|5066|a_shipping_address_city|40ceefd4-d78c-102c-82f7-000bcd9bc610|CASTLECRAG|
79015657429373|4945|sh_col2|7bc23964-d847-102c-986c-000bcd9bc610|0.00|
79819953475471|4945|sh_col3|60eb5f08-d851-102c-986c-000bcd9bc610|0.00|
80375184027908|46|cc_contactsms_c|05a7c940-14da-102d-8bbc-000bcd9bc610|No|
80591411183285|4945|sh_id|d9257d4a-d9ec-102c-986c-000bcd9bc610|d9257d4a-d9ec-102c-986c-000bcd9bc610|
81104614342595|5066|a_shipping_address_state|34db1144-d78c-102c-82f7-000bcd9bc610|VIC|
81340830928887|46|cc_hobbies_c|0c6fac48-14da-102d-8bbc-000bcd9bc610|Not Recorded|
83736310443367|46|cc_busmod_c|0dd2a950-14da-102d-8bbc-000bcd9bc610|Not Recorded|
83931252000498|5066|ac_pricegrp_c|4510ab3c-d78c-102c-82f7-000bcd9bc610|RB|
85023133926999|4945|sh_name|09216f6e-d852-102c-986c-000bcd9bc610|10600 - Orthodontic|
87416757389116|4945|sh_col3|ea07043a-d83e-102c-82f7-000bcd9bc610|6121.00|
88090774404144|4945|sh_col1|7da57e10-d9f2-102c-986c-000bcd9bc610|0.00|
89637501985267|4945|sh_name|e9070432-d78e-102c-82f7-000bcd9bc610|07102 - Clinical|
93410473732649|7317|p_name|e23449a0-0f36-102d-b0d6-000bcd9bc610|KER31367|
93775201405446|46|cc_contactemail_c|1016969a-14da-102d-8bbc-000bcd9bc610|Yes|
94499208995307|46|cc_practype_c|fefdd7c4-14d9-102d-8bbc-000bcd9bc610|Not Recorded|
95273682640297|4945|sha_j4d1_sales_tsaccounts_idb|1daf7b6a-d852-102c-986c-000bcd9bc610|58ce0296-d78c-102c-82f7-000bcd9bc610|
95584535239331|5066|a_date_modified|dd047780-d8f3-102c-986c-000bcd9bc610|2005-09-28 09:07:30|
96032208330960|5066|a_shipping_address_state|52266492-d78c-102c-82f7-000bcd9bc610|TAS|
97233599025060|5066|a_phone_fax|49145c1a-d78c-102c-82f7-000bcd9bc610||
97470445261557|7317|pc_gstgroup_c|1217c552-ecc8-102c-8d7d-000bcd9bc610|Y|
97963579005826|5066|a_shipping_address_postalcode|f79ebb46-d8f3-102c-986c-000bcd9bc610||
98922386818953|4945|sh_col3|ff95fe1a-d78e-102c-82f7-000bcd9bc610|1134.00|
98962923265403|5066|a_shipping_address_postalcode|54505034-d78c-102c-82f7-000bcd9bc610|6053|
99191911513238|46|cc_mailout_c|12d025e0-d8f8-102c-986c-000bcd9bc610|Yes|
100154655397328|7317|pc_totalstock_c|29ee8f44-ecc8-102c-8d7d-000bcd9bc610|0|
100554829402918|5066|a_account_type|358be24e-d78c-102c-82f7-000bcd9bc610|Customer|
100772369791662|7317|p_name|05e2839e-ecc8-102c-8d7d-000bcd9bc610|PDTBT01|
102127258539608|46|cc_speciality_c|17f768da-14da-102d-8bbc-000bcd9bc610|Other|
103224371702520|5066|a_phone_fax|444466f8-d78c-102c-82f7-000bcd9bc610||
103419311708738|4945|sh_col1|bb3c4e54-d851-102c-986c-000bcd9bc610|0.00|
103446844907759|46|c_team_id|fbeef4aa-14d9-102d-8bbc-000bcd9bc610|884d828a-8690-66ea-788e-4a7645aa0fdb|
104562601737228|4945|sh_col3|c9e3e4a0-d854-102c-986c-000bcd9bc610|3855.00|
106570499896870|8422|p_name|15522326-7618-0685-8351-342135550800|ULT0242|
106994141102124|46|c_title|07dee338-14da-102d-8bbc-000bcd9bc610|Owner|
109389392338991|46|c_first_name|0177ad54-14da-102d-8bbc-000bcd9bc610|Maria|
109593964167127|46|c_first_name|03e2ead6-14da-102d-8bbc-000bcd9bc610|Johnathan|
109864492748625|7317|pc_baseunit_c|0afa3038-ecc9-102c-8d7d-000bcd9bc610|PC|
